county,gender,race,year,y,n,county_name
1,2,1,21,2,12850,Adams
1,2,2,1,0,22,Adams
1,2,2,2,0,24,Adams
1,2,2,3,0,24,Adams
1,2,2,4,0,27,Adams
1,2,2,5,0,31,Adams
1,2,2,6,0,35,Adams
1,2,2,7,0,35,Adams
1,2,2,8,0,33,Adams
1,2,2,9,0,35,Adams
1,2,2,10,0,39,Adams
1,2,2,11,0,38,Adams
1,2,2,12,0,50,Adams
1,2,2,13,0,52,Adams
1,2,2,14,1,58,Adams
1,2,2,15,0,74,Adams
1,2,2,16,0,86,Adams
1,2,2,17,0,97,Adams
1,2,2,18,0,99,Adams
1,2,2,19,0,123,Adams
1,2,2,20,0,118,Adams
1,2,2,21,0,129,Adams
2,1,1,1,25,49585,Allen
2,1,1,2,24,49395,Allen
2,1,1,3,30,49202,Allen
2,1,1,4,35,49521,Allen
2,1,1,5,26,49067,Allen
2,1,1,6,27,48870,Allen
2,1,1,7,32,48877,Allen
2,1,1,8,25,48792,Allen
2,1,1,9,41,48148,Allen
2,1,1,10,48,48371,Allen
2,1,1,11,30,47990,Allen
2,1,1,12,51,48533,Allen
2,1,1,13,34,48568,Allen
2,1,1,14,37,48362,Allen
2,1,1,15,33,47348,Allen
2,1,1,16,34,46883,Allen
2,1,1,17,39,47323,Allen
2,1,1,18,37,47469,Allen
2,1,1,19,42,47627,Allen
2,1,1,20,42,47881,Allen
2,1,1,21,34,48001,Allen
2,1,2,1,2,4683,Allen
2,1,2,2,3,4719,Allen
2,1,2,3,4,4834,Allen
2,1,2,4,4,4863,Allen
2,1,2,5,4,4881,Allen
2,1,2,6,3,4914,Allen
2,1,2,7,3,5011,Allen
2,1,2,8,3,5085,Allen
2,1,2,9,3,5113,Allen
2,1,2,10,4,5232,Allen
2,1,2,11,3,5262,Allen
2,1,2,12,6,5462,Allen
2,1,2,13,2,5598,Allen
2,1,2,14,3,5752,Allen
2,1,2,15,4,5828,Allen
2,1,2,16,6,5878,Allen
2,1,2,17,8,5956,Allen
2,1,2,18,1,6008,Allen
2,1,2,19,5,6085,Allen
2,1,2,20,6,6209,Allen
2,1,2,21,5,6316,Allen
2,2,1,1,5,52201,Allen
2,2,1,2,5,52201,Allen
2,2,1,3,5,52067,Allen
2,2,1,4,4,52303,Allen
2,2,1,5,6,51787,Allen
2,2,1,6,7,51534,Allen
2,2,1,7,6,51686,Allen
2,2,1,8,7,51713,Allen
2,2,1,9,9,51258,Allen
2,2,1,10,11,51448,Allen
2,2,1,11,8,51144,Allen
2,2,1,12,19,51658,Allen
2,2,1,13,9,51784,Allen
2,2,1,14,12,51535,Allen
2,2,1,15,9,50436,Allen
2,2,1,16,20,49848,Allen
2,2,1,17,20,50056,Allen
2,2,1,18,15,50104,Allen
2,2,1,19,18,50253,Allen
2,2,1,20,21,50498,Allen
2,2,1,21,19,50547,Allen
2,2,2,1,0,4559,Allen
2,2,2,2,1,4658,Allen
2,2,2,3,0,4755,Allen
2,2,2,4,1,4841,Allen
2,2,2,5,0,4869,Allen
2,2,2,6,1,4955,Allen
2,2,2,7,0,5102,Allen
2,2,2,8,0,5227,Allen
2,2,2,9,1,5272,Allen
2,2,2,10,0,5436,Allen
2,2,2,11,1,5505,Allen
2,2,2,12,0,5734,Allen
2,2,2,13,1,5900,Allen
2,2,2,14,1,6114,Allen
2,2,2,15,1,6308,Allen
2,2,2,16,2,6387,Allen
2,2,2,17,2,6554,Allen
2,2,2,18,0,6670,Allen
2,2,2,19,0,6780,Allen
2,2,2,20,0,6870,Allen
2,2,2,21,0,7004,Allen
3,1,1,1,10,21056,Ashland
3,1,1,2,17,20956,Ashland
3,1,1,3,10,20759,Ashland
3,1,1,4,9,20817,Ashland
3,1,1,5,12,21147,Ashland
3,1,1,6,10,21285,Ashland
3,1,1,7,9,21293,Ashland
3,1,1,8,15,21543,Ashland
3,1,1,9,9,21397,Ashland
3,1,1,10,13,21465,Ashland
3,1,1,11,8,21722,Ashland
3,1,1,12,10,21903,Ashland
3,1,1,13,18,22114,Ashland
3,1,1,14,15,22146,Ashland
3,1,1,15,18,22040,Ashland
3,1,1,16,20,21805,Ashland
3,1,1,17,18,21859,Ashland
3,1,1,18,26,21907,Ashland
3,1,1,19,12,21706,Ashland
3,1,1,20,20,21878,Ashland
3,1,1,21,24,21909,Ashland
3,1,2,1,0,155,Ashland
3,1,2,2,0,156,Ashland
3,1,2,3,0,167,Ashland
3,1,2,4,0,181,Ashland
3,1,2,5,0,191,Ashland
3,1,2,6,0,211,Ashland
3,1,2,7,1,215,Ashland
3,1,2,8,0,242,Ashland
3,1,2,9,0,244,Ashland
3,1,2,10,0,260,Ashland
3,1,2,11,0,273,Ashland
3,1,2,12,0,281,Ashland
3,1,2,13,0,298,Ashland
3,1,2,14,0,332,Ashland
3,1,2,15,0,353,Ashland
3,1,2,16,0,365,Ashland
3,1,2,17,0,390,Ashland
3,1,2,18,0,425,Ashland
3,1,2,19,0,429,Ashland
3,1,2,20,0,449,Ashland
3,1,2,21,0,470,Ashland
3,2,1,1,5,22178,Ashland
3,2,1,2,2,22145,Ashland
3,2,1,3,2,22042,Ashland
3,2,1,4,3,22132,Ashland
3,2,1,5,0,22439,Ashland
3,2,1,6,1,22613,Ashland
3,2,1,7,2,22529,Ashland
3,2,1,8,3,22856,Ashland
3,2,1,9,6,22663,Ashland
3,2,1,10,2,22796,Ashland
3,2,1,11,5,23124,Ashland
3,2,1,12,1,23390,Ashland
3,2,1,13,4,23476,Ashland
3,2,1,14,3,23711,Ashland
3,2,1,15,2,23691,Ashland
3,2,1,16,7,23532,Ashland
3,2,1,17,7,23724,Ashland
3,2,1,18,8,23787,Ashland
3,2,1,19,7,23561,Ashland
3,2,1,20,8,23702,Ashland
3,2,1,21,6,23755,Ashland
3,2,2,1,0,115,Ashland
3,2,2,2,0,125,Ashland
3,2,2,3,0,132,Ashland
3,2,2,4,0,136,Ashland
3,2,2,5,0,140,Ashland
3,2,2,6,0,149,Ashland
3,2,2,7,0,160,Ashland
3,2,2,8,0,177,Ashland
3,2,2,9,0,190,Ashland
3,2,2,10,0,187,Ashland
3,2,2,11,0,204,Ashland
3,2,2,12,0,207,Ashland
3,2,2,13,0,233,Ashland
3,2,2,14,0,256,Ashland
3,2,2,15,0,277,Ashland
3,2,2,16,0,292,Ashland
3,2,2,17,0,313,Ashland
3,2,2,18,0,322,Ashland
3,2,2,19,0,334,Ashland
3,2,2,20,0,352,Ashland
3,2,2,21,0,374,Ashland
4,1,1,1,20,45167,Ashtabula
4,1,1,2,17,45866,Ashtabula
4,1,1,3,19,46641,Ashtabula
4,1,1,4,32,47735,Ashtabula
4,1,1,5,38,47888,Ashtabula
4,1,1,6,25,47617,Ashtabula
4,1,1,7,24,47865,Ashtabula
4,1,1,8,23,48255,Ashtabula
4,1,1,9,31,47776,Ashtabula
4,1,1,10,30,47839,Ashtabula
4,1,1,11,38,48202,Ashtabula
4,1,1,12,26,48735,Ashtabula
4,1,1,13,44,48604,Ashtabula
4,1,1,14,43,48402,Ashtabula
4,1,1,15,37,48032,Ashtabula
4,1,1,16,32,47501,Ashtabula
4,1,1,17,35,47339,Ashtabula
4,1,1,18,37,47232,Ashtabula
4,1,1,19,36,46545,Ashtabula
4,1,1,20,31,46268,Ashtabula
4,1,1,21,50,45804,Ashtabula
4,1,2,1,0,1263,Ashtabula
4,1,2,2,2,1303,Ashtabula
4,1,2,3,0,1374,Ashtabula
4,1,2,4,0,1429,Ashtabula
4,1,2,5,0,1457,Ashtabula
4,1,2,6,0,1483,Ashtabula
4,1,2,7,0,1525,Ashtabula
4,1,2,8,0,1560,Ashtabula
4,1,2,9,0,1598,Ashtabula
4,1,2,10,2,1627,Ashtabula
4,1,2,11,0,1675,Ashtabula
4,1,2,12,1,1705,Ashtabula
4,1,2,13,0,1769,Ashtabula
4,1,2,14,0,1820,Ashtabula
4,1,2,15,2,1899,Ashtabula
4,1,2,16,1,1949,Ashtabula
4,1,2,17,2,2003,Ashtabula
4,1,2,18,1,2083,Ashtabula
4,1,2,19,2,2111,Ashtabula
4,1,2,20,3,2154,Ashtabula
4,1,2,21,0,2183,Ashtabula
4,2,1,1,7,47272,Ashtabula
4,2,1,2,4,48158,Ashtabula
4,2,1,3,6,48799,Ashtabula
4,2,1,4,5,49930,Ashtabula
4,2,1,5,4,49885,Ashtabula
4,2,1,6,4,49755,Ashtabula
4,2,1,7,13,50079,Ashtabula
4,2,1,8,3,50479,Ashtabula
4,2,1,9,9,50096,Ashtabula
4,2,1,10,8,50385,Ashtabula
4,2,1,11,11,50852,Ashtabula
4,2,1,12,11,51529,Ashtabula
4,2,1,13,14,51484,Ashtabula
4,2,1,14,13,51315,Ashtabula
4,2,1,15,13,50865,Ashtabula
4,2,1,16,26,50271,Ashtabula
4,2,1,17,19,50006,Ashtabula
4,2,1,18,18,49934,Ashtabula
4,2,1,19,12,49158,Ashtabula
4,2,1,20,17,48753,Ashtabula
4,2,1,21,15,48258,Ashtabula
4,2,2,1,0,1375,Ashtabula
4,2,2,2,1,1411,Ashtabula
4,2,2,3,0,1483,Ashtabula
4,2,2,4,0,1519,Ashtabula
4,2,2,5,2,1548,Ashtabula
4,2,2,6,0,1573,Ashtabula
4,2,2,7,0,1608,Ashtabula
4,2,2,8,0,1641,Ashtabula
4,2,2,9,0,1646,Ashtabula
4,2,2,10,1,1694,Ashtabula
4,2,2,11,0,1733,Ashtabula
4,2,2,12,0,1798,Ashtabula
4,2,2,13,0,1828,Ashtabula
4,2,2,14,0,1920,Ashtabula
4,2,2,15,1,1987,Ashtabula
4,2,2,16,0,2029,Ashtabula
4,2,2,17,0,2092,Ashtabula
4,2,2,18,0,2153,Ashtabula
4,2,2,19,0,2197,Ashtabula
4,2,2,20,2,2247,Ashtabula
4,2,2,21,0,2314,Ashtabula
5,1,1,1,10,26517,Athens
5,1,1,2,9,26857,Athens
5,1,1,3,8,27160,Athens
5,1,1,4,11,27915,Athens
5,1,1,5,24,28013,Athens
5,1,1,6,18,27329,Athens
5,1,1,7,8,26182,Athens
5,1,1,8,13,25171,Athens
5,1,1,9,20,24767,Athens
5,1,1,10,12,25953,Athens
5,1,1,11,24,26571,Athens
5,1,1,12,22,26593,Athens
5,1,1,13,16,27031,Athens
5,1,1,14,21,27370,Athens
5,1,1,15,19,27397,Athens
5,1,1,16,17,27295,Athens
5,1,1,17,18,27376,Athens
5,1,1,18,14,27443,Athens
5,1,1,19,10,27506,Athens
5,1,1,20,24,27801,Athens
5,1,1,21,18,27941,Athens
5,1,2,1,0,754,Athens
5,1,2,2,0,787,Athens
5,1,2,3,0,854,Athens
5,1,2,4,0,909,Athens
5,1,2,5,2,956,Athens
5,1,2,6,1,983,Athens
5,1,2,7,0,968,Athens
5,1,2,8,1,963,Athens
5,1,2,9,0,998,Athens
5,1,2,10,0,1093,Athens
5,1,2,11,0,1185,Athens
5,1,2,12,0,1220,Athens
5,1,2,13,0,1303,Athens
5,1,2,14,0,1408,Athens
5,1,2,15,0,1528,Athens
5,1,2,16,0,1585,Athens
5,1,2,17,1,1648,Athens
5,1,2,18,0,1704,Athens
5,1,2,19,0,1765,Athens
5,1,2,20,0,1820,Athens
5,1,2,21,0,1878,Athens
5,2,1,1,2,26238,Athens
5,2,1,2,0,26682,Athens
5,2,1,3,4,26979,Athens
5,2,1,4,1,27674,Athens
5,2,1,5,2,27626,Athens
5,2,1,6,4,26900,Athens
5,2,1,7,3,26021,Athens
5,2,1,8,6,25201,Athens
5,2,1,9,5,24845,Athens
5,2,1,10,6,25963,Athens
5,2,1,11,6,26349,Athens
5,2,1,12,8,26313,Athens
5,2,1,13,8,26976,Athens
5,2,1,14,12,27146,Athens
5,2,1,15,5,27038,Athens
5,2,1,16,4,26931,Athens
5,2,1,17,19,26991,Athens
5,2,1,18,7,26982,Athens
5,2,1,19,5,26966,Athens
5,2,1,20,3,27266,Athens
5,2,1,21,6,27388,Athens
5,2,2,1,0,671,Athens
5,2,2,2,0,710,Athens
5,2,2,3,0,780,Athens
5,2,2,4,0,819,Athens
5,2,2,5,0,855,Athens
5,2,2,6,0,887,Athens
5,2,2,7,0,881,Athens
5,2,2,8,0,898,Athens
5,2,2,9,0,898,Athens
5,2,2,10,0,985,Athens
5,2,2,11,0,1029,Athens
5,2,2,12,0,1063,Athens
5,2,2,13,1,1119,Athens
5,2,2,14,0,1184,Athens
5,2,2,15,0,1242,Athens
5,2,2,16,0,1264,Athens
5,2,2,17,0,1285,Athens
5,2,2,18,0,1306,Athens
5,2,2,19,0,1362,Athens
5,2,2,20,0,1405,Athens
5,2,2,21,0,1446,Athens
6,1,1,1,5,18368,Auglaize
6,1,1,2,9,18496,Auglaize
6,1,1,3,6,18703,Auglaize
6,1,1,4,15,19060,Auglaize
6,1,1,5,4,19258,Auglaize
6,1,1,6,12,19703,Auglaize
6,1,1,7,10,19970,Auglaize
6,1,1,8,10,20751,Auglaize
6,1,1,9,15,20179,Auglaize
6,1,1,10,15,20268,Auglaize
6,1,1,11,10,20529,Auglaize
6,1,1,12,10,20756,Auglaize
6,1,1,13,12,20767,Auglaize
6,1,1,14,15,20865,Auglaize
6,1,1,15,18,20912,Auglaize
6,1,1,16,14,20798,Auglaize
6,1,1,17,23,21081,Auglaize
6,1,1,18,19,21172,Auglaize
6,1,1,19,19,21245,Auglaize
6,1,1,20,13,21408,Auglaize
6,1,1,21,16,21529,Auglaize
6,1,2,1,0,32,Auglaize
6,1,2,2,0,35,Auglaize
6,1,2,3,0,34,Auglaize
6,1,2,4,0,33,Auglaize
6,1,2,5,0,37,Auglaize
6,1,2,6,0,36,Auglaize
6,1,2,7,0,39,Auglaize
6,1,2,8,0,39,Auglaize
6,1,2,9,0,40,Auglaize
6,1,2,10,0,48,Auglaize
6,1,2,11,0,49,Auglaize
6,1,2,12,0,55,Auglaize
6,1,2,13,0,50,Auglaize
6,1,2,14,0,52,Auglaize
6,1,2,15,0,56,Auglaize
6,1,2,16,0,55,Auglaize
6,1,2,17,0,60,Auglaize
6,1,2,18,0,64,Auglaize
6,1,2,19,0,60,Auglaize
6,1,2,20,0,69,Auglaize
6,1,2,21,0,67,Auglaize
6,2,1,1,2,19461,Auglaize
6,2,1,2,1,19649,Auglaize
6,2,1,3,2,19765,Auglaize
6,2,1,4,1,20094,Auglaize
6,2,1,5,2,20174,Auglaize
6,2,1,6,3,20583,Auglaize
6,2,1,7,2,20846,Auglaize
6,2,1,8,2,21611,Auglaize
6,2,1,9,5,21043,Auglaize
6,2,1,10,3,21142,Auglaize
6,2,1,11,1,21407,Auglaize
6,2,1,12,8,21590,Auglaize
6,2,1,13,5,21595,Auglaize
6,2,1,14,5,21763,Auglaize
6,2,1,15,5,21832,Auglaize
6,2,1,16,2,21750,Auglaize
6,2,1,17,12,22071,Auglaize
6,2,1,18,3,22211,Auglaize
6,2,1,19,4,22250,Auglaize
6,2,1,20,6,22363,Auglaize
6,2,1,21,6,22496,Auglaize
6,2,2,1,0,32,Auglaize
6,2,2,2,0,31,Auglaize
6,2,2,3,0,32,Auglaize
6,2,2,4,0,35,Auglaize
6,2,2,5,0,40,Auglaize
6,2,2,6,0,48,Auglaize
6,2,2,7,0,52,Auglaize
6,2,2,8,0,53,Auglaize
6,2,2,9,0,57,Auglaize
6,2,2,10,0,66,Auglaize
6,2,2,11,0,69,Auglaize
6,2,2,12,0,73,Auglaize
6,2,2,13,0,79,Auglaize
6,2,2,14,0,80,Auglaize
6,2,2,15,0,81,Auglaize
6,2,2,16,0,86,Auglaize
6,2,2,17,0,88,Auglaize
6,2,2,18,0,92,Auglaize
6,2,2,19,0,98,Auglaize
6,2,2,20,0,101,Auglaize
6,2,2,21,0,102,Auglaize
7,1,1,1,21,36622,Belmont
7,1,1,2,26,37326,Belmont
7,1,1,3,35,38063,Belmont
7,1,1,4,24,39263,Belmont
7,1,1,5,24,39199,Belmont
7,1,1,6,24,38992,Belmont
7,1,1,7,46,38755,Belmont
7,1,1,8,34,38959,Belmont
7,1,1,9,29,39180,Belmont
7,1,1,10,38,38796,Belmont
7,1,1,11,18,38689,Belmont
7,1,1,12,28,39177,Belmont
7,1,1,13,41,38641,Belmont
7,1,1,14,43,38526,Belmont
7,1,1,15,37,38209,Belmont
7,1,1,16,31,38174,Belmont
7,1,1,17,42,37671,Belmont
7,1,1,18,31,36893,Belmont
7,1,1,19,35,35625,Belmont
7,1,1,20,48,35397,Belmont
7,1,1,21,42,34808,Belmont
7,1,2,1,0,853,Belmont
7,1,2,2,0,848,Belmont
7,1,2,3,2,875,Belmont
7,1,2,4,1,873,Belmont
7,1,2,5,4,859,Belmont
7,1,2,6,2,862,Belmont
7,1,2,7,1,847,Belmont
7,1,2,8,0,846,Belmont
7,1,2,9,0,851,Belmont
7,1,2,10,1,848,Belmont
7,1,2,11,3,834,Belmont
7,1,2,12,0,840,Belmont
7,1,2,13,2,837,Belmont
7,1,2,14,1,876,Belmont
7,1,2,15,1,919,Belmont
7,1,2,16,0,946,Belmont
7,1,2,17,1,951,Belmont
7,1,2,18,0,945,Belmont
7,1,2,19,2,915,Belmont
7,1,2,20,0,936,Belmont
7,1,2,21,0,930,Belmont
7,2,1,1,4,39454,Belmont
7,2,1,2,6,40321,Belmont
7,2,1,3,6,40984,Belmont
7,2,1,4,4,42264,Belmont
7,2,1,5,4,42111,Belmont
7,2,1,6,7,41883,Belmont
7,2,1,7,13,41653,Belmont
7,2,1,8,4,42030,Belmont
7,2,1,9,10,42264,Belmont
7,2,1,10,7,41908,Belmont
7,2,1,11,13,41685,Belmont
7,2,1,12,12,42334,Belmont
7,2,1,13,11,41794,Belmont
7,2,1,14,19,41814,Belmont
7,2,1,15,8,41677,Belmont
7,2,1,16,14,41756,Belmont
7,2,1,17,11,41285,Belmont
7,2,1,18,13,40561,Belmont
7,2,1,19,13,39125,Belmont
7,2,1,20,13,38876,Belmont
7,2,1,21,28,38165,Belmont
7,2,2,1,0,927,Belmont
7,2,2,2,0,940,Belmont
7,2,2,3,0,961,Belmont
7,2,2,4,0,976,Belmont
7,2,2,5,0,960,Belmont
7,2,2,6,0,967,Belmont
7,2,2,7,1,956,Belmont
7,2,2,8,0,966,Belmont
7,2,2,9,0,964,Belmont
7,2,2,10,0,962,Belmont
7,2,2,11,1,966,Belmont
7,2,2,12,0,985,Belmont
7,2,2,13,0,974,Belmont
7,2,2,14,1,1026,Belmont
7,2,2,15,1,1080,Belmont
7,2,2,16,0,1108,Belmont
7,2,2,17,1,1110,Belmont
7,2,2,18,0,1108,Belmont
7,2,2,19,0,1087,Belmont
7,2,2,20,1,1108,Belmont
7,2,2,21,0,1100,Belmont
8,1,1,1,8,12167,Brown
8,1,1,2,4,12520,Brown
8,1,1,3,6,12900,Brown
8,1,1,4,5,13434,Brown
8,1,1,5,8,13967,Brown
8,1,1,6,6,14169,Brown
8,1,1,7,8,14291,Brown
8,1,1,8,9,14615,Brown
8,1,1,9,5,14589,Brown
8,1,1,10,9,14871,Brown
8,1,1,11,12,15222,Brown
8,1,1,12,6,15328,Brown
8,1,1,13,14,15510,Brown
8,1,1,14,9,15950,Brown
8,1,1,15,15,16174,Brown
8,1,1,16,17,16261,Brown
8,1,1,17,16,16612,Brown
8,1,1,18,11,17050,Brown
8,1,1,19,17,17090,Brown
8,1,1,20,22,17429,Brown
8,1,1,21,16,17716,Brown
8,1,2,1,0,270,Brown
8,1,2,2,0,260,Brown
8,1,2,3,0,260,Brown
8,1,2,4,0,269,Brown
8,1,2,5,0,255,Brown
8,1,2,6,0,256,Brown
8,1,2,7,0,252,Brown
8,1,2,8,0,246,Brown
8,1,2,9,2,240,Brown
8,1,2,10,0,236,Brown
8,1,2,11,0,238,Brown
8,1,2,12,0,237,Brown
8,1,2,13,0,238,Brown
8,1,2,14,0,227,Brown
8,1,2,15,0,219,Brown
8,1,2,16,1,211,Brown
8,1,2,17,1,199,Brown
8,1,2,18,0,192,Brown
8,1,2,19,0,185,Brown
8,1,2,20,1,176,Brown
8,1,2,21,1,170,Brown
8,2,1,1,2,12582,Brown
8,2,1,2,1,12965,Brown
8,2,1,3,1,13320,Brown
8,2,1,4,0,13765,Brown
8,2,1,5,2,14374,Brown
8,2,1,6,4,14571,Brown
8,2,1,7,3,14684,Brown
8,2,1,8,1,14936,Brown
8,2,1,9,7,14946,Brown
8,2,1,10,2,15243,Brown
8,2,1,11,4,15594,Brown
8,2,1,12,1,15744,Brown
8,2,1,13,7,15985,Brown
8,2,1,14,3,16256,Brown
8,2,1,15,7,16372,Brown
8,2,1,16,9,16284,Brown
8,2,1,17,7,16490,Brown
8,2,1,18,8,16772,Brown
8,2,1,19,6,16774,Brown
8,2,1,20,7,17096,Brown
8,2,1,21,6,17352,Brown
8,2,2,1,0,281,Brown
8,2,2,2,1,265,Brown
8,2,2,3,0,264,Brown
8,2,2,4,0,263,Brown
8,2,2,5,0,263,Brown
8,2,2,6,0,258,Brown
8,2,2,7,0,259,Brown
8,2,2,8,0,251,Brown
8,2,2,9,0,250,Brown
8,2,2,10,0,247,Brown
8,2,2,11,0,238,Brown
8,2,2,12,0,243,Brown
8,2,2,13,0,244,Brown
8,2,2,14,0,233,Brown
8,2,2,15,0,229,Brown
8,2,2,16,0,223,Brown
8,2,2,17,0,219,Brown
8,2,2,18,0,204,Brown
8,2,2,19,0,194,Brown
8,2,2,20,0,193,Brown
8,2,2,21,0,188,Brown
9,1,1,1,38,103346,Butler
9,1,1,2,53,104203,Butler
9,1,1,3,50,104903,Butler
9,1,1,4,64,106530,Butler
9,1,1,5,74,108154,Butler
9,1,1,6,57,110051,Butler
9,1,1,7,54,111020,Butler
9,1,1,8,71,111401,Butler
9,1,1,9,81,111690,Butler
9,1,1,10,76,113691,Butler
9,1,1,11,86,115981,Butler
9,1,1,12,61,118336,Butler
9,1,1,13,93,119171,Butler
9,1,1,14,98,120397,Butler
9,1,1,15,91,120035,Butler
9,1,1,16,100,119009,Butler
9,1,1,17,96,120850,Butler
9,1,1,18,78,122042,Butler
9,1,1,19,108,123480,Butler
9,1,1,20,105,125769,Butler
9,1,1,21,86,127409,Butler
9,1,2,1,2,5491,Butler
9,1,2,2,7,5491,Butler
9,1,2,3,1,5543,Butler
9,1,2,4,5,5528,Butler
9,1,2,5,6,5632,Butler
9,1,2,6,4,5698,Butler
9,1,2,7,5,5725,Butler
9,1,2,8,5,5759,Butler
9,1,2,9,5,5726,Butler
9,1,2,10,3,5871,Butler
9,1,2,11,5,6012,Butler
9,1,2,12,4,6167,Butler
9,1,2,13,6,6325,Butler
9,1,2,14,6,6590,Butler
9,1,2,15,7,6815,Butler
9,1,2,16,12,6885,Butler
9,1,2,17,4,7118,Butler
9,1,2,18,7,7331,Butler
9,1,2,19,7,7470,Butler
9,1,2,20,5,7730,Butler
9,1,2,21,9,7909,Butler
9,2,1,1,9,107681,Butler
9,2,1,2,8,108706,Butler
9,2,1,3,11,109454,Butler
9,2,1,4,14,111095,Butler
9,2,1,5,20,112575,Butler
9,2,1,6,19,114929,Butler
9,2,1,7,16,116171,Butler
9,2,1,8,27,116979,Butler
9,2,1,9,18,117421,Butler
9,2,1,10,22,119771,Butler
9,2,1,11,29,122545,Butler
9,2,1,12,25,125116,Butler
9,2,1,13,33,126239,Butler
9,2,1,14,23,128041,Butler
9,2,1,15,40,127994,Butler
9,2,1,16,38,127401,Butler
9,2,1,17,38,129385,Butler
9,2,1,18,52,130991,Butler
9,2,1,19,49,132368,Butler
9,2,1,20,48,134667,Butler
9,2,1,21,61,136415,Butler
9,2,2,1,0,6098,Butler
9,2,2,2,1,6122,Butler
9,2,2,3,1,6190,Butler
9,2,2,4,1,6222,Butler
9,2,2,5,2,6265,Butler
9,2,2,6,2,6374,Butler
9,2,2,7,3,6434,Butler
9,2,2,8,0,6481,Butler
9,2,2,9,1,6481,Butler
9,2,2,10,3,6672,Butler
9,2,2,11,3,6805,Butler
9,2,2,12,1,6952,Butler
9,2,2,13,3,7142,Butler
9,2,2,14,2,7284,Butler
9,2,2,15,0,7393,Butler
9,2,2,16,0,7346,Butler
9,2,2,17,3,7467,Butler
9,2,2,18,2,7559,Butler
9,2,2,19,0,7715,Butler
9,2,2,20,1,7939,Butler
9,2,2,21,2,8127,Butler
10,1,1,1,2,10305,Carroll
10,1,1,2,9,10516,Carroll
10,1,1,3,4,10609,Carroll
10,1,1,4,4,10869,Carroll
10,1,1,5,6,11121,Carroll
10,1,1,6,3,11514,Carroll
10,1,1,7,5,11866,Carroll
10,1,1,8,6,12038,Carroll
10,1,1,9,4,12209,Carroll
10,1,1,10,8,12392,Carroll
10,1,1,11,6,12669,Carroll
10,1,1,12,7,12563,Carroll
10,1,1,13,7,12518,Carroll
10,1,1,14,9,12574,Carroll
10,1,1,15,10,12631,Carroll
10,1,1,16,12,12738,Carroll
10,1,1,17,9,12900,Carroll
10,1,1,18,8,12971,Carroll
10,1,1,19,5,12966,Carroll
10,1,1,20,13,13027,Carroll
10,1,1,21,6,13021,Carroll
10,1,2,1,0,89,Carroll
10,1,2,2,0,83,Carroll
10,1,2,3,1,79,Carroll
10,1,2,4,0,79,Carroll
10,1,2,5,0,80,Carroll
10,1,2,6,0,82,Carroll
10,1,2,7,0,81,Carroll
10,1,2,8,0,86,Carroll
10,1,2,9,1,84,Carroll
10,1,2,10,0,84,Carroll
10,1,2,11,0,85,Carroll
10,1,2,12,0,84,Carroll
10,1,2,13,0,81,Carroll
10,1,2,14,0,89,Carroll
10,1,2,15,0,92,Carroll
10,1,2,16,0,98,Carroll
10,1,2,17,0,103,Carroll
10,1,2,18,0,109,Carroll
10,1,2,19,0,112,Carroll
10,1,2,20,0,117,Carroll
10,1,2,21,0,120,Carroll
